ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
84,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE
85,Sudowoodo,Rock,None,410,70,100,115,30,65,30,2,FALSE
86,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE
87,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE
88,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE
89,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE
90,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE
91,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE
92,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
93,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE
94,Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE
95,Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE
96,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE
97,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE
98,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
99,Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE
100,Totodile,Water,None,314,50,65,64,44,48,43,2,FALSE
101,Croconaw,Water,None,405,65,80,80,59,63,58,2,FALSE
102,Feraligatr,Water,None,530,85,105,100,79,83,78,2,FALSE
103,Politoed,Water,None,500,90,75,75,90,100,70,2,FALSE
104,Remoraid,Water,None,300,35,65,35,65,35,65,2,FALSE
105,Octillery,Water,None,480,75,105,75,105,75,45,2,FALSE
106,Suicune,Water,None,580,100,75,115,90,115,85,2,TRUE
