ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
43,Ninetales,Fire,None,505,73,76,75,81,100,100,1,FALSE
44,Growlithe,Fire,None,350,55,70,45,70,50,60,1,FALSE
45,Arcanine,Fire,None,555,90,110,80,100,80,95,1,FALSE
46,Ponyta,Fire,None,410,50,85,55,65,65,90,1,FALSE
47,Rapidash,Fire,None,500,65,100,70,80,80,105,1,FALSE
48,Magmar,Fire,None,495,65,95,57,100,85,93,1,FALSE
49,Flareon,Fire,None,525,65,130,60,95,110,65,1,FALSE
50,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE
51,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE
52,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE
53,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE
54,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
55,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
56,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
57,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
58,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
59,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
60,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
61,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
62,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE
63,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
64,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE
65,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE
66,Tangela,Grass,None,435,65,55,115,100,40,60,1,FALSE
67,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE
68,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
69,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,FALSE
70,Sandslash,Ground,None,450,75,100,110,45,55,65,1,FALSE
71,Diglett,Ground,None,265,10,55,25,35,45,95,1,FALSE
72,Dugtrio,Ground,None,405,35,80,50,50,70,120,1,FALSE
73,Cubone,Ground,None,320,50,50,95,40,50,35,1,FALSE
74,Marowak,Ground,None,425,60,80,110,50,80,45,1,FALSE
75,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
76,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE
77,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE
78,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
79,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
80,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE
81,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
82,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,FALSE
83,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
84,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE
85,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE
86,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE
87,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
88,Rattata,Normal,None,253,30,56,35,25,35,72,1,FALSE
89,Raticate,Normal,None,413,55,81,60,50,70,97,1,FALSE
90,Meowth,Normal,None,290,40,45,35,40,40,90,1,FALSE
91,Persian,Normal,None,440,65,70,60,65,65,115,1,FALSE
92,Lickitung,Normal,None,385,90,55,75,60,75,30,1,FALSE
93,Chansey,Normal,None,450,250,5,5,35,105,50,1,FALSE
94,Kangaskhan,Normal,None,490,105,95,80,40,80,90,1,FALSE
95,KangaskhanMega Kangaskhan,Normal,None,590,105,125,100,60,100,100,1,FALSE
96,Tauros,Normal,None,490,75,100,95,40,70,110,1,FALSE
97,Ditto,Normal,None,288,48,48,48,48,48,48,1,FALSE
98,Eevee,Normal,None,325,55,55,50,45,65,55,1,FALSE
99,Porygon,Normal,None,395,65,60,70,85,75,40,1,FALSE
100,Snorlax,Normal,None,540,160,110,65,65,110,30,1,FALSE
101,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
102,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE
103,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
104,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
105,Ekans,Poison,None,288,35,60,44,40,54,55,1,FALSE
106,Arbok,Poison,None,438,60,85,69,65,79,80,1,FALSE
107,NidoranÃ¤Â»Ã³,Poison,None,275,55,47,52,40,40,41,1,FALSE
108,Nidorina,Poison,None,365,70,62,67,55,55,56,1,FALSE
109,NidoranÃ¤Â»â€°,Poison,None,273,46,57,40,40,40,50,1,FALSE
110,Nidorino,Poison,None,365,61,72,57,55,55,65,1,FALSE
111,Grimer,Poison,None,325,80,80,50,40,50,25,1,FALSE
112,Muk,Poison,None,500,105,105,75,65,100,50,1,FALSE
113,Koffing,Poison,None,340,40,65,95,60,45,35,1,FALSE
114,Weezing,Poison,None,490,65,90,120,85,70,60,1,FALSE
115,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE
116,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE
117,Abra,Psychic,None,310,25,20,15,105,55,90,1,FALSE
118,Kadabra,Psychic,None,400,40,35,30,120,70,105,1,FALSE
119,Alakazam,Psychic,None,500,55,50,45,135,95,120,1,FALSE
120,AlakazamMega Alakazam,Psychic,None,590,55,50,65,175,95,150,1,FALSE
121,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,FALSE
122,Hypno,Psychic,None,483,85,73,70,73,115,67,1,FALSE
123,Mewtwo,Psychic,None,680,106,110,90,154,90,130,1,TRUE
124,MewtwoMega Mewtwo Y,Psychic,None,780,106,150,70,194,120,140,1,TRUE
125,Mew,Psychic,None,600,100,100,100,100,100,100,1,FALSE
126,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
127,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
128,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE
129,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE
130,Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE
131,Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
132,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE
133,Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE
134,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE
135,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE
136,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE
137,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
138,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
139,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE
140,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
141,Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE
142,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE
143,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
144,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE
145,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
146,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,FALSE
147,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE
148,Squirtle,Water,None,314,44,48,65,50,64,43,1,FALSE
149,Wartortle,Water,None,405,59,63,80,65,80,58,1,FALSE
150,Blastoise,Water,None,530,79,83,100,85,105,78,1,FALSE
151,BlastoiseMega Blastoise,Water,None,630,79,103,120,135,115,78,1,FALSE
152,Psyduck,Water,None,320,50,52,48,65,50,55,1,FALSE
153,Golduck,Water,None,500,80,82,78,95,80,85,1,FALSE
154,Poliwag,Water,None,300,40,50,40,40,40,90,1,FALSE
155,Poliwhirl,Water,None,385,65,65,65,50,50,90,1,FALSE
156,Seel,Water,None,325,65,45,55,45,70,45,1,FALSE
157,Shellder,Water,None,305,30,65,100,45,25,40,1,FALSE
158,Krabby,Water,None,325,30,105,90,25,25,50,1,FALSE
159,Kingler,Water,None,475,55,130,115,50,50,75,1,FALSE
160,Horsea,Water,None,295,30,40,70,70,25,60,1,FALSE
161,Seadra,Water,None,440,55,65,95,95,45,85,1,FALSE
162,Goldeen,Water,None,320,45,67,60,35,50,63,1,FALSE
163,Seaking,Water,None,450,80,92,65,65,80,68,1,FALSE
164,Staryu,Water,None,340,30,45,55,70,55,85,1,FALSE
165,Magikarp,Water,None,200,20,10,55,15,20,80,1,FALSE
166,Vaporeon,Water,None,525,130,65,60,110,95,65,1,FALSE
