ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
26,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,TRUE
27,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,TRUE
28,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,TRUE
29,Bagon,Dragon,None,300,45,75,60,40,30,50,3,FALSE
30,Shelgon,Dragon,None,420,65,95,100,60,50,50,3,FALSE
31,Electrike,Electric,None,295,40,45,40,65,40,65,3,FALSE
32,Manectric,Electric,None,475,70,75,60,105,60,105,3,FALSE
33,ManectricMega Manectric,Electric,None,575,70,75,80,135,80,135,3,FALSE
34,Plusle,Electric,None,405,60,50,40,85,75,95,3,FALSE
35,Minun,Electric,None,405,60,40,50,75,85,95,3,FALSE
36,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE
37,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
38,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
39,Makuhita,Fighting,None,237,72,60,30,20,30,25,3,FALSE
40,Hariyama,Fighting,None,474,144,120,60,40,60,50,3,FALSE
41,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE
42,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
43,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
44,Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
45,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
46,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,FALSE
47,Torchic,Fire,None,310,45,60,40,70,50,45,3,FALSE
48,Torkoal,Fire,None,470,70,85,140,85,70,20,3,FALSE
49,Shuppet,Ghost,None,295,44,75,35,63,33,45,3,FALSE
50,Banette,Ghost,None,455,64,115,65,83,63,65,3,FALSE
51,BanetteMega Banette,Ghost,None,555,64,165,75,93,83,75,3,FALSE
52,Duskull,Ghost,None,295,20,40,90,30,90,25,3,FALSE
53,Dusclops,Ghost,None,455,40,70,130,60,130,25,3,FALSE
54,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE
55,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
56,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE
57,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE
58,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
59,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
60,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
61,Treecko,Grass,None,310,40,45,35,65,55,70,3,FALSE
62,Grovyle,Grass,None,405,50,65,45,85,65,95,3,FALSE
63,Sceptile,Grass,None,530,70,85,65,105,85,120,3,FALSE
64,Seedot,Grass,None,220,40,40,50,30,30,30,3,FALSE
65,Shroomish,Grass,None,295,60,40,60,40,60,35,3,FALSE
66,Cacnea,Grass,None,335,50,85,40,85,40,35,3,FALSE
67,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE
68,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE
69,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,TRUE
70,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,FALSE
71,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,FALSE
72,Trapinch,Ground,None,290,45,100,45,45,45,10,3,FALSE
73,Groudon,Ground,None,670,100,150,140,100,90,90,3,TRUE
74,Spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE
75,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE
76,Walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE
77,Snorunt,Ice,None,300,50,50,50,50,50,50,3,FALSE
78,Glalie,Ice,None,480,80,80,80,80,80,80,3,FALSE
79,GlalieMega Glalie,Ice,None,580,80,120,80,120,80,100,3,FALSE
80,Regice,Ice,None,580,80,50,100,100,200,50,3,TRUE
81,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE
82,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE
83,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE
84,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,FALSE
85,Zigzagoon,Normal,None,240,38,30,41,30,41,60,3,FALSE
86,Linoone,Normal,None,420,78,70,61,50,61,100,3,FALSE
87,Slakoth,Normal,None,280,60,60,60,35,35,30,3,FALSE
88,Vigoroth,Normal,None,440,80,80,80,55,55,90,3,FALSE
89,Slaking,Normal,None,670,150,160,100,95,65,100,3,FALSE
90,Whismur,Normal,None,240,64,51,23,51,23,28,3,FALSE
91,Loudred,Normal,None,360,84,71,43,71,43,48,3,FALSE
92,Exploud,Normal,None,490,104,91,63,91,73,68,3,FALSE
93,Skitty,Normal,None,260,50,45,45,35,35,50,3,FALSE
94,Delcatty,Normal,None,380,70,65,65,55,55,70,3,FALSE
95,Spinda,Normal,None,360,60,60,60,60,60,60,3,FALSE
96,Zangoose,Normal,None,458,73,115,60,60,60,90,3,FALSE
97,Castform,Normal,None,420,70,70,70,70,70,70,3,FALSE
98,Kecleon,Normal,None,440,60,90,70,60,120,40,3,FALSE
99,Gulpin,Poison,None,302,70,43,53,43,53,40,3,FALSE
100,Swalot,Poison,None,467,100,73,83,73,83,55,3,FALSE
101,Seviper,Poison,None,458,73,100,60,100,60,65,3,FALSE
102,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE
103,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE
104,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE
105,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE
106,Spoink,Psychic,None,330,60,25,35,70,80,60,3,FALSE
107,Grumpig,Psychic,None,470,80,45,65,90,110,80,3,FALSE
108,Chimecho,Psychic,None,425,65,50,70,95,80,65,3,FALSE
109,Wynaut,Psychic,None,260,95,23,48,23,48,23,3,FALSE
110,DeoxysNormal Forme,Psychic,None,600,50,150,50,150,50,150,3,TRUE
111,DeoxysAttack Forme,Psychic,None,600,50,180,20,180,20,150,3,TRUE
112,DeoxysDefense Forme,Psychic,None,600,50,70,160,70,160,90,3,TRUE
113,DeoxysSpeed Forme,Psychic,None,600,50,95,90,95,90,180,3,TRUE
114,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE
115,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE
116,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,FALSE
117,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,FALSE
118,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,FALSE
119,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,FALSE
120,Nosepass,Rock,None,375,30,45,135,45,90,30,3,FALSE
121,Regirock,Rock,None,580,80,100,200,50,100,50,3,TRUE
122,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE
123,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
124,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,FALSE
125,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,FALSE
126,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE
127,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE
128,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE
129,Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
130,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE
131,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
132,AggronMega Aggron,Steel,None,630,70,140,230,60,80,50,3,FALSE
133,Registeel,Steel,None,580,80,75,150,75,150,50,3,TRUE
134,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
135,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
136,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,FALSE
137,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE
138,Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
139,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
140,Lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE
141,Lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE
142,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE
143,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
144,Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
145,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,FALSE
146,Barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE
147,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE
148,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
149,Mudkip,Water,None,310,50,70,50,50,50,40,3,FALSE
150,Wailmer,Water,None,400,130,70,35,70,35,60,3,FALSE
151,Wailord,Water,None,500,170,90,45,90,45,60,3,FALSE
152,Corphish,Water,None,308,43,80,65,50,35,35,3,FALSE
153,Feebas,Water,None,200,20,15,20,10,55,80,3,FALSE
154,Milotic,Water,None,540,95,60,79,100,125,81,3,FALSE
155,Clamperl,Water,None,345,35,64,85,74,55,32,3,FALSE
156,Huntail,Water,None,485,55,104,105,94,75,52,3,FALSE
157,Gorebyss,Water,None,485,55,84,105,114,75,52,3,FALSE
158,Luvdisc,Water,None,330,43,30,55,40,65,97,3,FALSE
159,Kyogre,Water,None,670,100,100,90,150,140,90,3,TRUE
160,KyogrePrimal Kyogre,Water,None,770,100,150,90,180,160,90,3,TRUE
